timestamp,session_id,activity,left_ear,right_ear,average_ear
14.984,paper_001,paper_study,0.0606,0.10288,0.08174
15.016,paper_001,paper_study,0.06079,0.10659,0.08369
15.05,paper_001,paper_study,0.06984,0.10378,0.08681
15.083,paper_001,paper_study,0.07145,0.10157,0.08651
15.116,paper_001,paper_study,0.07493,0.10832,0.09162
15.149,paper_001,paper_study,0.07479,0.11092,0.09286
15.184,paper_001,paper_study,0.07492,0.11391,0.09441
15.216,paper_001,paper_study,0.07573,0.1175,0.09662
15.249,paper_001,paper_study,0.06397,0.12504,0.09451
15.284,paper_001,paper_study,0.06701,0.13183,0.09942
15.316,paper_001,paper_study,0.06473,0.12416,0.09445
15.349,paper_001,paper_study,0.06451,0.12518,0.09485
15.383,paper_001,paper_study,0.06529,0.12279,0.09404
15.416,paper_001,paper_study,0.06438,0.12356,0.09397
15.449,paper_001,paper_study,0.0657,0.12007,0.09288
15.484,paper_001,paper_study,0.07215,0.11261,0.09238
15.516,paper_001,paper_study,0.07226,0.12389,0.09808
15.55,paper_001,paper_study,0.07018,0.12545,0.09781
15.583,paper_001,paper_study,0.07295,0.12822,0.10059
15.617,paper_001,paper_study,0.07276,0.12221,0.09749
15.649,paper_001,paper_study,0.0694,0.12158,0.09549
15.683,paper_001,paper_study,0.06876,0.12598,0.09737
15.716,paper_001,paper_study,0.06556,0.11166,0.08861
15.75,paper_001,paper_study,0.06652,0.11901,0.09276
15.783,paper_001,paper_study,0.06888,0.12437,0.09662
15.816,paper_001,paper_study,0.06586,0.11836,0.09211
15.85,paper_001,paper_study,0.06767,0.12329,0.09548
15.883,paper_001,paper_study,0.06754,0.12286,0.0952
15.916,paper_001,paper_study,0.06611,0.12,0.09305
15.951,paper_001,paper_study,0.06572,0.12592,0.09582
15.983,paper_001,paper_study,0.06544,0.12538,0.09541
16.016,paper_001,paper_study,0.06611,0.12242,0.09427
16.049,paper_001,paper_study,0.06658,0.12108,0.09383
16.083,paper_001,paper_study,0.06709,0.12367,0.09538
16.118,paper_001,paper_study,0.06808,0.12263,0.09536
16.15,paper_001,paper_study,0.0684,0.12872,0.09856
16.183,paper_001,paper_study,0.06619,0.12117,0.09368
16.217,paper_001,paper_study,0.06427,0.11616,0.09022
16.25,paper_001,paper_study,0.06582,0.11732,0.09157
16.283,paper_001,paper_study,0.07124,0.11921,0.09523
16.316,paper_001,paper_study,0.06694,0.12041,0.09368
16.35,paper_001,paper_study,0.06706,0.11642,0.09174
16.384,paper_001,paper_study,0.06113,0.11882,0.08998
16.417,paper_001,paper_study,0.06416,0.11128,0.08772
16.45,paper_001,paper_study,0.06282,0.11617,0.0895
16.483,paper_001,paper_study,0.06331,0.11337,0.08834
